m,k,p,80_sin_filtro,80_con_filtro,60_sin_filtro,60_con_filtro,40_sin_filtro,40_con_filtro,20_sin_filtro,20_con_filtro
450000,2,0.11639458634304584,16.061131477355957,11.766632795333862,18.283930778503418,9.067712783813477,21.03434419631958,7.110435485839844,22.981470584869385,5.043596267700195
450000,3,0.10069671903984892,15.20759630203247,10.553939580917358,17.89750838279724,8.852877140045166,19.957701683044434,6.863585472106934,22.15150499343872,4.286118507385254
450000,4,0.10258331825983302,15.73423957824707,11.15356731414795,17.9139084815979,8.613584280014038,20.49630093574524,6.500149488449097,22.624735593795776,4.368894100189209
450000,5,0.11397178134914208,15.67680311203003,11.086459398269653,18.231260776519775,9.420002698898315,20.27361559867859,6.228110074996948,22.22092604637146,4.6316819190979
450000,6,0.1325204991484504,15.477174520492554,11.253576517105103,17.814881086349487,9.129700183868408,21.590303897857666,5.851878643035889,23.18307089805603,3.986774206161499
450000,7,0.15741592812709246,15.010715246200562,10.72119426727295,18.045372009277344,9.346619367599487,21.1408212184906,5.522034645080566,23.025574207305908,3.9025180339813232
540000,2,0.08626874883728622,15.52496600151062,10.884995222091675,18.244627714157104,9.50856328010559,21.300598621368408,7.131401062011719,24.55750322341919,5.043596267700195
540000,3,0.06713787638638914,15.514357089996338,10.688288927078247,18.683038234710693,9.71021819114685,20.782613277435303,6.4701173305511475,23.88914442062378,4.286118507385254
540000,4,0.06308307593394064,16.036927223205566,10.954394340515137,19.103270292282104,9.598620414733887,21.203654289245605,6.318731784820557,24.081315517425537,4.420165300369263
540000,5,0.06607419170574509,15.57801604270935,10.624283075332642,18.39424777030945,9.266758680343628,21.592247486114502,6.274433612823486,23.623372077941895,4.612994194030762
540000,6,0.07381707010364122,15.5564706325531,10.865050077438354,18.154406309127808,9.167694568634033,21.349650621414185,6.127892255783081,23.526028156280518,4.624939680099487
540000,7,0.08562574443916886,18.576457500457764,10.625147581100464,18.272011280059814,9.135510206222534,21.368321895599365,6.086187124252319,23.417804956436157,4.54937744140625
630000,2,0.066431677065719,16.010935068130493,11.03748631477356,17.821890592575073,9.033614158630371,21.18757987022399,6.059985637664795,24.09592914581299,4.454889535903931
630000,3,0.04685611018729747,15.804192304611206,10.604944229125977,17.689990520477295,9.030432224273682,21.536094427108765,6.0849268436431885,23.861873388290405,4.611506581783295
630000,4,0.04066294917530501,16.036927223205566,10.954394340515137,19.103270292282104,9.598620414733887,21.203654289245605,6.318731784820557,24.081315517425537,4.420165300369263
630000,5,0.06607419170574509,15.57801604270935,10.624283075332642,18.39424777030945,9.266758680343628,21.592247486114502,6.274433612823486,23.623372077941895,4.612994194030762
630000,6,0.07381707010364122,15.5564706325531,10.865050077438354,18.154406309127808,9.167694568634033,21.349650621414185,6.127892255783081,23.526028156280518,4.624939680099487
630000,7,0.08562574443916886,15.010715246200562,10.72119426727295,18.045372009277344,9.346619367599487,21.1408212184906,5.522034645080566,23.025574207305908,3.9025180339813232
720000,2,0.05270107584883043,15.551437854766846,10.62954568862915,18.244627714157104,9.50856328010559,21.300598621368408,7.131401062011719,24.55750322341919,5.043596267700195
720000,3,0.03636540250896333,15.367989540100098,10.533151864051819,18.070445775985718,9.533739805221558,21.409279823303223,7.1008570194244385,24.195288181304932,4.286118507385254
720000,4,0.029287641563572042,15.516514778137207,10.59730076789856,18.5373637676239,9.679053783416748,21.230300426483154,7.079943656921387,24.352112293243408,4.420165300369263
720000,5,0.028195042416745502,15.350850582122803,10.458638429641724,18.454958200454712,9.621748447418213,21.23432731628418,7.114330768585205,24.22745704650879,4.612994194030762
720000,6,0.03252671414157706,15.332786798477173,10.484156250953674,18.455300331115723,9.646733045578003,21.19696831703186,7.098774194717407,24.245428800582886,4.624939680099487
720000,7,0.03623337329751226,15.352000951766968,10.500692129135132,18.492109537124634,9.646707773208618,21.22870421409607,7.07687783241272,24.212989807128906,4.54937744140625
810000,2,0.04220334980826927,15.548856735229492,10.610468745231628,18.45684313774109,9.562686920166016,21.366158485412598,7.131401062011719,24.55750322341919,5.043596267700195
810000,3,0.029690772268534582,15.204870223999023,10.423429727554321,18.21396803855896,9.517181158065796,21.380358457565308,7.063345432281494,24.168959379196167,4.286118507385254
810000,4,0.023710954401066666,15.210317611694336,10.357535123825073,18.152740478515625,9.540609121322632,21.411201000213623,7.092889785766602,24.118048667907715,4.420165300369263
810000,5,0.024754617117021945,15.149674892425537,10.417706727981567,18.365669012069702,9.657159805297852,21.369426250457764,7.0640177726745605,24.07157063484192,4.612994194030762
810000,6,0.02838477776223519,15.303228378295898,10.573936700820923,18.43761420249939,9.70346450805664,21.293246030807495,7.062899351119995,24.160499572753906,4.624939680099487
810000,7,0.03136487059245923,15.389690637588501,10.543732404708862,18.359006643295288,9.662193059921265,21.36554765701294,7.048635005950928,24.149040937423706,4.54937744140625
900000,2,0.03648411303768715,15.634230375289917,10.695501804351807,18.419010400772095,9.72592806816101,21.35248899459839,7.131401062011719,24.55750322341919,5.043596267700195
900000,3,0.025877408400471803,15.350850582122803,10.458638429641724,18.454958200454712,9.621748447418213,21.23432731628418,7.114330768585205,24.22745704650879,4.612994194030762
900000,4,0.020600144173305415,15.15209150314331,10.392046689987183,18.184743881225586,9.500134944915771,21.274890422821045,7.122942686080933,24.246272087097168,4.420165300369263
900000,5,0.021514118021730036,15.149674892425537,10.417706727981567,18.365669012069702,9.657159805297852,21.369426250457764,7.0640177726745605,24.07157063484192,4.612994194030762
900000,6,0.02451284549437353,15.15209150314331,10.392046689987183,18.184743881225586,9.500134944915771,21.274890422821045,7.122942686080933,24.246272087097168,4.420165300369263
900000,7,0.02754122435450775,15.594294309616089,10.680409669876099,18.287687063217163,9.387914061546326,21.24854826927185,7.077034234046936,24.142212867736816,4.54937744140625
